target_order	protein_mean	protein_sd	n_reference_cells
0	1.1632416702310342e-07	0.9999999926331385	121847
1	1.8695526208506902e-07	0.999999981340112	114398
2	-7.138215083482657e-08	0.99999996591258	121847
3	-1.540066610741518e-05	0.935632737080347	7449
4	-4.338581928117397e-08	0.9999999595037963	7449
5	1.1522311523115333e-07	0.9998248793786227	114398
6	-2.9667083781551515e-06	0.999982153845636	212820
7	-8.311546382484062e-08	0.016992869049121794	114398
8	8.343463780808928e-08	1.0000000260253534	114398
9	2.8782422498590302e-05	0.999817435517449	114398
10	6.24825702338634e-08	1.0000000334498198	114398
11	0.00047476523944669894	0.9969851990527588	114398
12	-6.834432561875211e-08	0.9999999623671729	114398
13	-5.127349275864877e-08	0.019593103935075736	212820
14	-6.726417594995254e-08	0.035609606125364776	7449
15	-2.4367372519994903e-07	1.0000000031189753	7449
16	-2.4367372519994903e-07	1.0000000031189753	7449
17	7.098690778430838e-06	0.9999554510949861	212820
18	1.329110953360254e-05	0.9999171305584462	114398
19	-7.523177504232343e-08	0.5850130404175002	114398
20	-3.608238226708471e-05	0.9997792722438955	7449
21	2.7511983111135412e-05	0.029214515432220565	7449
22	1.8359236602823835e-05	0.3358451588940074	7449
23	1.156043653341518e-05	0.9999307084489427	7449
24	-1.5012664434542923e-05	0.99990858699431	7449
25	-3.232982635625824e-08	1.000000036820789	7449
26	0.00044687065190176866	0.997133591448606	7449
27	4.073675729822958e-08	0.9999999598762866	7449
28	4.915735817794819e-05	0.8121945279675411	7449
29	0.0003066920023136454	0.8302277693347285	7449
30	-3.623199499873471e-08	0.999999997482125	7449
31	-1.6819529101834678e-08	1.0000000297220621	7449
32	-1.1842623843108429e-05	0.8893978870190711	7449
33	-2.874852070485622e-09	1.0000000150967239	7449
34	2.7942825804851728e-05	0.9998306403038614	7449
35	0.00014088321448418658	0.4100825683341773	7449
36	1.176942796151633e-05	0.9999297854601856	7449
37	0.00012516142682425288	0.37131302599845556	7449
38	9.424691775830953e-09	0.9999999630807966	7449
39	-5.872411391929936e-05	0.9996427577980189	7449
40	-8.021558757837882e-08	0.9999999819952741	7449
41	0.0002351598776229345	0.9925008593276127	212820
42	-1.6991732067874082e-06	0.9999895530989666	212820
43	0.00010049968243828385	0.7315365809507341	212820
44	1.581442141037994e-05	0.9999013193777955	212820
45	3.309186639669902e-07	0.999997551879089	212820
46	1.0891156110426921e-05	0.999931394766625	212820
47	-7.921468465979022e-06	0.9999500904901563	212820
48	1.4109002535961254e-06	0.999991037382967	212820
49	1.834007913119248e-05	0.9998851912367591	212820
50	-3.292441662456915e-08	1.0000000343104634	212820
51	0.0007627368444381425	0.9941474815821112	212820
52	3.0094796293879875e-08	1.0000000224059054	212820
53	5.316485791464909e-08	0.9999999673849568	212820
54	-3.647343523755194e-08	1.0000000039352803	212820
55	-4.611432216916752e-08	1.0000000151214106	212820
