split_seed	model	selected	validation_spearman	median_overall_spearman	median_within_condition_spearman	median_pseudobulk_spearman
69001	original	False	0.45735767515140946	0.4513176494226688	0.34825383275491245	0.6707352911710294
69001	member2	False	0.4405257927894468	0.4239972064322803	0.3041990030800449	0.6445757928212195
69001	member3	False	0.4435537356875182	0.4240854487244702	0.33687875547449875	0.6650287601574396
69001	mean3	False	0.4803434873531921	0.46151715947008154	0.3546296131678608	0.693171246711785
69001	rank3	True	0.48165559980298406	0.4616025843747038	0.35208201598280936	0.6905046557404579
69002	original	False	0.45732700019282546	0.4525279827963784	0.36796233889358965	0.6262075619424562
69002	member2	False	0.44685650488428086	0.4311441315109349	0.3552412855842262	0.6044091808614918
69002	member3	False	0.4367952419551425	0.4411791078846034	0.3573004194207967	0.5657376068850295
69002	mean3	True	0.4708160199368274	0.48065372325648625	0.38362581366955795	0.6521389335848637
69002	rank3	False	0.47060879791471133	0.47941648566453987	0.3739929008864181	0.6467769578378245
69003	original	False	0.4235854250074025	0.44177276118762754	0.3366503362135571	0.5974146247187059
69003	member2	False	0.430580888717461	0.4333931183281784	0.3341142220129838	0.5971707222324392
69003	member3	False	0.4393443084839914	0.4567430852445443	0.34323506550951544	0.625534489780514
69003	mean3	False	0.46008132551870834	0.469582290030673	0.3589765481417946	0.6191544133199622
69003	rank3	True	0.4605309992395833	0.4708448658564903	0.3551108810952447	0.6148795319134465
69004	original	False	0.4214098852960605	0.4051325798713795	0.3424737808030229	0.6047067215511279
69004	member2	False	0.4598416560275268	0.43925863755388084	0.31849212212391886	0.631124774625984
69004	member3	False	0.4450120427494113	0.4109547025326866	0.2753596239190335	0.6374723439174279
69004	mean3	False	0.4768523927165087	0.4474975549151946	0.3404596366007723	0.6409559732825917
69004	rank3	True	0.4780593546867803	0.449323385928625	0.333981414091765	0.6402746079068776
69005	original	False	0.45589241457010254	0.4242458214901993	0.358853600743221	0.6679862596314416
69005	member2	False	0.4594076914539744	0.4134157246999016	0.3424548337794569	0.5965806835390282
69005	member3	False	0.4553782758708137	0.46205868504810765	0.35220802396703493	0.6161840547474899
69005	mean3	True	0.47857585870832775	0.466637148062083	0.37221691346613395	0.6415939120499223
69005	rank3	False	0.4780665103200503	0.46497313913158395	0.36996186703281625	0.6331050596197227
