architecture	model	split_seed	median_overall_spearman	median_within_condition_spearman	median_pseudobulk_spearman
ctpnet	single_original	69001	0.41724229713909444	0.3264075508831572	0.6829831469733155
ctpnet	mean3	69001	0.4328401058900134	0.3354359067713748	0.6733240405213947
ctpnet	rank3	69001	0.43341930406672624	0.33160447694725814	0.6767938602810334
ctpnet	single_original	69002	0.43419495822616	0.3483478542045593	0.6455547541104885
ctpnet	mean3	69002	0.431533890139877	0.3346314094392402	0.6305211858921008
ctpnet	rank3	69002	0.4297297055004973	0.3159015500775817	0.6222542800249065
ctpnet	single_original	69003	0.44678912595901643	0.33597391748542893	0.551091680629517
ctpnet	mean3	69003	0.45936352604606345	0.3446402943226692	0.6403965198753473
ctpnet	rank3	69003	0.4586289747993928	0.3380176618770386	0.6310241301139942
ctpnet	single_original	69004	0.37117912272189846	0.28334849148233665	0.6187885988967549
ctpnet	mean3	69004	0.39585667136370356	0.2968793451563889	0.6353202314588735
ctpnet	rank3	69004	0.40300744222115853	0.2919370977867541	0.6292844595712943
ctpnet	single_original	69005	0.431894309848555	0.3520824711906526	0.6533552573755603
ctpnet	mean3	69005	0.45308348620107763	0.3548577641617848	0.6627155172413792
ctpnet	rank3	69005	0.4523197147174681	0.35269870210793325	0.6587814578267366
scipenn	single_original	69001	0.4412008703064831	0.34560218736838144	0.6585337113011553
scipenn	mean3	69001	0.4583367804259678	0.3627111071739675	0.6881353214466784
scipenn	rank3	69001	0.45811959866277174	0.3553489888326668	0.6892227647054896
scipenn	single_original	69002	0.44883678389441517	0.3677666567773428	0.642284241740492
scipenn	mean3	69002	0.4635338566958443	0.3835343387400777	0.646660234915452
scipenn	rank3	69002	0.4636024028552296	0.34948083849557704	0.6399196705444278
scipenn	single_original	69003	0.43768138625077313	0.31110503810826673	0.6043535566432674
scipenn	mean3	69003	0.46577050860624214	0.34892642218546827	0.5867596668516386
scipenn	rank3	69003	0.46704293273624864	0.3457019883022753	0.5873624842297003
scipenn	single_original	69004	0.3704453115825208	0.2674413569004074	0.6063369754171954
scipenn	mean3	69004	0.39957436170192695	0.29903907741481495	0.623621610987602
scipenn	rank3	69004	0.40105307003159746	0.2904610340287459	0.6271781411087569
scipenn	single_original	69005	0.42955715787950616	0.34727268579895754	0.7043176691178625
scipenn	mean3	69005	0.46230257176383494	0.3689100020791428	0.6978852942899832
scipenn	rank3	69005	0.46140209637881685	0.3602684085686767	0.696989716696452
