competitor	metric	seed	n_targets	median_sc15	median_competitor	median_delta	win_fraction
ctpnet	overall	69001	20	0.4615171594700815	0.4328401058900134	0.024907416360191892	0.85
ctpnet	overall	69002	20	0.48065372325648625	0.431533890139877	0.02855645868854967	0.9
ctpnet	overall	69003	20	0.469582290030673	0.4593635260460634	0.006758431545037136	0.7
ctpnet	overall	69004	20	0.4474975549151946	0.3958566713637035	0.024786421681524617	0.9
ctpnet	overall	69005	20	0.466637148062083	0.45308348620107763	0.012963336472116532	0.8
ctpnet	within_condition	69001	20	0.3546296131678608	0.3354359067713748	0.02284560438136682	0.85
ctpnet	within_condition	69002	20	0.3836258136695579	0.33463140943924014	0.044583883989411766	1.0
ctpnet	within_condition	69003	20	0.35897654814179447	0.34464029432266907	0.020725693236860743	0.8
ctpnet	within_condition	69004	20	0.3404596366007723	0.2968793451563888	0.04656987872240581	0.9
ctpnet	within_condition	69005	20	0.37221691346613395	0.3548577641617848	0.015595016204486917	0.95
ctpnet	pseudobulk	69001	20	0.693171246711785	0.6733240405213947	0.01558385701510362	0.7
ctpnet	pseudobulk	69002	20	0.6521389335848637	0.6305211858921008	0.004939059350089647	0.6
ctpnet	pseudobulk	69003	20	0.6191544133199622	0.6403965198753473	0.006745043294190511	0.6
ctpnet	pseudobulk	69004	20	0.6409559732825917	0.6353202314588735	0.0010165034990309019	0.55
ctpnet	pseudobulk	69005	20	0.6415939120499223	0.6627155172413792	0.008694664986962808	0.7
scipenn	overall	69001	20	0.4615171594700815	0.4583367804259678	0.0028459245599141425	0.65
scipenn	overall	69002	20	0.48065372325648625	0.4635338566958443	0.017069318541629075	0.85
scipenn	overall	69003	20	0.469582290030673	0.46577050860624214	0.00924435547881719	0.65
scipenn	overall	69004	20	0.4474975549151946	0.39957436170192695	0.03175805171166904	0.8
scipenn	overall	69005	20	0.466637148062083	0.46230257176383494	0.00810417191239747	0.8
scipenn	within_condition	69001	20	0.3546296131678608	0.3627111071739675	0.0015534820041916697	0.55
scipenn	within_condition	69002	20	0.3836258136695579	0.3835343387400777	0.01990320479759919	0.9
scipenn	within_condition	69003	20	0.35897654814179447	0.34892642218546827	0.021095082260989717	0.85
scipenn	within_condition	69004	20	0.3404596366007723	0.29903907741481495	0.04461125953173503	0.8
scipenn	within_condition	69005	20	0.37221691346613395	0.3689100020791428	0.012163603809035722	0.8
scipenn	pseudobulk	69001	20	0.693171246711785	0.6881353214466784	-0.0008404025440573171	0.5
scipenn	pseudobulk	69002	20	0.6521389335848637	0.646660234915452	0.006346828435270957	0.7
scipenn	pseudobulk	69003	20	0.6191544133199622	0.5867596668516386	0.012115239936661665	0.65
scipenn	pseudobulk	69004	20	0.6409559732825917	0.623621610987602	0.01197687546949111	0.7
scipenn	pseudobulk	69005	20	0.6415939120499223	0.6978852942899832	-0.004896954078860261	0.4
